game_id,game_outcome,players,ranked_status,timestamp
160330376,1,loui8sdstk|dicedstk|diggs|,0,2017-01-09 10:41:06.380
160528675,1,mwaxy|||,1,2017-01-11 11:14:24.119
160562759,1,mwaxy|||,1,2017-01-11 23:33:03.602
160574177,0,loui8sdstk|diggs||,1,2017-01-12 02:32:57.243
160626451,1,skandaras|diggs||,1,2017-01-13 02:02:24.241
160626576,0,skandaras|diggs||,1,2017-01-13 02:14:21.070
160635008,0,mwaxy|||,1,2017-01-12 22:40:52.912
160636716,1,skandaras|diggs||,1,2017-01-13 02:26:13.040
160639752,1,mwaxy|||,1,2017-01-13 06:24:09.257
160688324,1,smatties|loui8sdstk|skandaras|bumster,1,2017-01-14 00:40:21.111
160689576,0,mwaxy|||,1,2017-01-14 02:47:44.308
160702972,1,bumster|||,0,2017-01-13 09:15:40.317
160801138,1,skandaras|diggs||,1,2017-01-14 04:47:59.647
160806353,0,skandaras|diggs||,1,2017-01-14 11:08:28.187
160810822,1,mwaxy|||,1,2017-01-14 04:29:11.500
160817098,1,skandaras|diggs||,1,2017-01-14 12:03:07.394
160870519,1,bumster|||,1,2017-01-14 23:07:46.115
160874866,1,diggs|||,1,2017-01-15 05:43:47.864
160878304,1,loui8sdstk|diggs||,1,2017-01-15 09:32:00.538
160880950,1,skandaras|bumster|diggs|,1,2017-01-15 00:29:31.768
160920371,0,smatties|skandaras|bumster|,1,2017-01-15 11:40:46.863
160925970,1,loui8sdstk|diggs||,1,2017-01-16 03:13:52.703
160945295,0,loui8sdstk|diggs||,1,2017-01-16 02:26:49.920
161052165,0,loui8sdstk|dicedstk|skandaras|,1,2017-01-16 10:41:17.483
161056622,1,mwaxy|||,1,2017-01-16 23:13:38.713
161058420,0,mwaxy|||,1,2017-01-17 02:40:30.523
161110083,1,mwaxy|||,1,2017-01-17 04:48:47.216
161120663,0,mwaxy|||,1,2017-01-17 05:35:31.179
161125909,1,loui8sdstk|skandaras||,1,2017-01-17 11:30:45.823
161129394,1,mwaxy|||,1,2017-01-17 22:50:05.013
161171050,1,mwaxy|||,1,2017-01-18 01:54:47.053
161187672,0,dicedstk|||,1,2017-01-18 10:34:47.520
161211303,0,bumster|||,0,2017-01-18 09:09:07.396
161244139,1,loui8sdstk|diggs||,1,2017-01-19 03:07:31.331
161428802,1,loui8sdstk|diggs||,1,2017-01-21 02:37:46.085
161481069,1,dicedstk|||,1,2017-01-21 05:03:36.929
161482771,0,dicedstk|||,1,2017-01-21 07:08:50.870
161485215,1,dicedstk|||,1,2017-01-21 10:07:54.746
161493531,1,dicedstk|||,1,2017-01-21 08:33:08.411
161496964,1,dicedstk|||,1,2017-01-21 12:32:25.111
161603552,1,dicedstk|||,1,2017-01-22 04:25:06.388
161613368,0,dicedstk|||,1,2017-01-22 04:36:09.597
161615229,0,dicedstk|||,1,2017-01-22 06:37:42.774
161622894,1,bumster|||,0,2017-01-22 06:49:49.817
161639315,1,bumster|||,0,2017-01-22 10:19:39.387
161729932,0,loui8sdstk|||,1,2017-01-24 05:01:08.603
161739263,0,loui8sdstk|||,1,2017-01-24 04:22:54.124
161864171,0,bumster|||,0,2017-01-24 11:36:03.233
161975465,0,dicedstk|||,1,2017-01-25 07:57:51.791
161976305,1,dicedstk|||,1,2017-01-25 09:00:21.749
161976872,1,dicedstk|||,1,2017-01-25 09:38:54.213
161978486,0,dicedstk|||,1,2017-01-25 11:28:44.486
162032037,1,mwaxy|||,1,2017-01-25 22:08:53.288
162032420,1,smatties|skandaras||,1,2017-01-25 23:35:51.763
162032877,0,loui8sdstk|diggs||,1,2017-01-26 00:45:19.719
162043316,1,loui8sdstk|diggs||,1,2017-01-26 01:35:12.348
162046681,0,dicedstk|||,1,2017-01-26 06:24:24.018
162047035,0,loui8sdstk|diggs||,1,2017-01-26 06:53:03.393
162047159,0,mwaxy|||,1,2017-01-26 07:01:03.323
162049654,0,smatties|dicedstk|skandaras|,1,2017-01-26 10:08:18.514
162051318,1,dicedstk|mwaxy|loui8sdstk|diggs,0,2017-01-26 02:59:42.336
162051650,1,menelaus34|||,0,2017-01-26 03:13:34.990
162052322,0,loui8sdstk|mwaxy|menelaus34|dicedstk,0,2017-01-26 03:43:21.761
162054709,0,loui8sdstk|||,0,2017-01-26 05:12:58.066
162065103,0,loui8sdstk|||,0,2017-01-26 05:54:55.467
162068133,1,skandaras|diggs|mwaxy|dicedstk,0,2017-01-26 07:50:19.941
162071383,0,skandaras|dicedstk|diggs|mwaxy,0,2017-01-26 09:06:45.718
162093828,1,skandaras|||,1,2017-01-26 21:56:58.019
162096001,0,mwaxy|||,1,2017-01-27 03:07:06.131
162097489,0,loui8sdstk|skandaras||,1,2017-01-27 05:17:32.048
162103913,1,skandaras|||,1,2017-01-26 22:47:39.112
162104766,1,dicedstk|||,1,2017-01-27 01:04:59.916
162105042,0,mwaxy|||,1,2017-01-27 01:40:11.646
162105454,1,mwaxy|||,1,2017-01-27 02:23:25.652
162106866,0,loui8sdstk|skandaras||,1,2017-01-27 04:31:54.974
162108027,1,loui8sdstk|skandaras||,1,2017-01-27 06:08:18.756
162108446,0,smatties|loui8sdstk|skandaras|,1,2017-01-27 06:45:03.513
162116349,1,menelaus34|||,0,2017-01-27 02:34:40.091
162198070,0,bumster|||,0,2017-01-27 09:59:24.694
162211207,1,loui8sdstk|diggs||,1,2017-01-27 10:19:29.342
162229612,0,skandaras|||,1,2017-01-28 06:09:59.892
162248740,1,menelaus34|||,0,2017-01-27 23:00:17.090
162251106,0,bumster|||,0,2017-01-28 00:18:30.905
162265024,1,skandaras|loui8sdstk|diggs|,0,2017-01-28 03:58:05.297
162266098,1,loui8sdstk|diggs|skandaras|,0,2017-01-28 04:33:39.720
162278528,1,skandaras|diggs|bumster|,0,2017-01-28 11:00:04.812
162284068,0,skandaras|bumster||,1,2017-01-28 11:53:10.961
162289740,1,smatties|skandaras||,1,2017-01-29 03:46:26.561
162297732,1,mwaxy|||,0,2017-01-28 10:38:58.607
162298992,1,diggs|skandaras|bumster|mwaxy,0,2017-01-28 11:11:19.977
162302455,1,bumster|||,1,2017-01-28 10:02:51.589
162307684,1,skandaras|||,1,2017-01-29 00:44:55.360
162308140,0,skandaras|||,1,2017-01-29 01:38:04.058
162327100,1,menelaus34|||,0,2017-01-28 18:53:08.991
162345251,1,skandaras|smatties|diggs|loui8sdstk,0,2017-01-29 04:25:11.529
162346902,1,skandaras|diggs|smatties|,0,2017-01-29 05:20:05.442
162365468,0,loui8sdstk|skandaras||,1,2017-01-29 10:36:34.485
162375938,0,loui8sdstk|skandaras||,1,2017-01-29 11:19:46.460
162376583,0,loui8sdstk|skandaras||,1,2017-01-29 12:10:09.810
162433099,0,bumster|||,0,2017-01-29 08:28:11.615
162445078,,,,2017-01-29 09:45:02.462
162472919,0,mwaxy|||,1,2017-01-30 05:40:06.776
162478164,0,skandaras|||,1,2017-01-30 12:06:59.470
162485412,0,mwaxy|||,1,2017-01-30 08:58:38.693
162487437,0,skandaras|||,1,2017-01-30 11:22:44.648
162558872,0,loui8sdstk|skandaras||,1,2017-01-31 12:01:07.291
162568511,0,loui8sdstk|skandaras||,1,2017-01-31 11:27:01.845
162598351,1,menelaus34|||,0,2017-01-31 16:11:13.856
162600443,,,,2017-01-31 10:42:43.681
162624211,0,mwaxy|||,1,2017-02-01 05:31:14.269
162628952,1,loui8sdstk|||,1,2017-02-01 12:00:36.030
162634915,0,mwaxy|||,1,2017-02-01 06:19:45.730
162734185,0,mwaxy|||,1,2017-02-02 05:21:09.832
162734471,1,mwaxy|||,1,2017-02-02 05:50:03.501
162755008,1,loui8sdstk|skandaras||,1,2017-02-02 06:52:54.684
162758290,0,loui8sdstk|skandaras||,1,2017-02-02 11:12:28.632
162776692,0,loui8sdstk|skandaras||,0,2017-02-02 09:31:42.487
162778023,0,loui8sdstk|skandaras||,0,2017-02-02 10:16:37.555
162813679,0,mwaxy|||,1,2017-02-03 04:28:58.618
162823158,1,mwaxy|||,1,2017-02-03 03:50:18.846
162823960,1,mwaxy|||,1,2017-02-03 05:11:06.042
162876908,0,diggs|||,1,2017-02-04 05:36:25.896
162887520,1,smatties|loui8sdstk|skandaras|,1,2017-02-04 06:28:25.672
162887985,0,smatties|loui8sdstk|skandaras|,1,2017-02-04 07:04:02.993
162995264,1,smatties|skandaras||,1,2017-02-04 23:11:47.886
162995752,1,smatties|skandaras||,1,2017-02-05 00:22:12.591
163007745,1,loui8sdstk|skandaras||,1,2017-02-05 03:23:09.821
163008416,1,smatties|loui8sdstk|skandaras|,1,2017-02-05 04:11:23.643
163009147,1,smatties|loui8sdstk|skandaras|,1,2017-02-05 05:00:46.729
163075232,0,loui8sdstk|skandaras||,1,2017-02-05 11:34:21.871
163075865,0,loui8sdstk|skandaras||,1,2017-02-05 12:22:59.095
163135286,1,dicedstk|skandaras||,1,2017-02-06 10:01:21.151
163135854,1,skandaras|||,1,2017-02-06 10:38:34.344
163144513,0,mwaxy|||,1,2017-02-06 09:10:58.314
163146324,0,skandaras|||,1,2017-02-06 11:11:19.981
163245857,0,skandaras|||,1,2017-02-07 09:36:43.929
163246392,0,skandaras|||,1,2017-02-07 10:09:58.610
163247731,0,skandaras|||,1,2017-02-07 11:47:21.888
163266940,0,skandaras|||,1,2017-02-07 10:47:33.525
163332651,1,menelaus34|||,0,2017-02-08 03:36:44.720
