game_id,player_name
208052728,skandaras
208052728,diggs
208060987,skandaras
208060987,diggs
208035488,loui8sdstk
208035488,diggs
207979772,skandaras
207979772,bumster
207979772,dicedstk
207979772,diggs
207988148,skandaras
207988148,bumster
207988148,dicedstk
207988148,diggs
207976642,skandaras
207976642,bumster
207976642,diggs
207885032,loui8sdstk
207885032,diggs
207885032,menelaus34
207874389,loui8sdstk
207874389,diggs
207874389,menelaus34
207882398,loui8sdstk
207882398,diggs
207882398,menelaus34
207867415,dicedstk
207867415,diggs
207867415,menelaus34
207520291,skandaras
207520291,dicedstk
207520291,diggs
207520291,menelaus34
207498542,skandaras
207498542,bumster
207498542,diggs
207295949,diggs
207276337,loui8sdstk
207276337,skandaras
207276337,bumster
207276337,diggs
207285339,bumster
207285339,diggs
207180656,diggs
207180656,menelaus34
207159739,diggs
207159739,menelaus34
207159084,diggs
207159084,menelaus34
207166611,diggs
207166611,menelaus34
207148444,skandaras
207148444,dicedstk
207148444,diggs
207146706,skandaras
207146706,diggs
207084232,diggs
207084232,menelaus34
207080634,diggs
207080634,menelaus34
206985936,bumster
206985936,diggs
206993792,diggs
206943699,loui8sdstk
206943699,diggs
206952209,loui8sdstk
206952209,bumster
206952209,diggs
206865510,loui8sdstk
206865510,bumster
206865510,diggs
206865510,menelaus34
206863984,loui8sdstk
206863984,bumster
206863984,diggs
206862690,loui8sdstk
206862690,bumster
206862690,diggs
206861562,loui8sdstk
206861562,bumster
206861562,diggs
206860302,bumster
206860302,diggs
206766218,skandaras
206766218,bumster
206766218,diggs
206735362,skandaras
206735362,bumster
206735362,diggs
206708953,bumster
206708953,diggs
206718046,bumster
206718046,diggs
206694873,loui8sdstk
206694873,bumster
206694873,dicedstk
206694873,diggs
206693598,loui8sdstk
206693598,bumster
206693598,dicedstk
206693598,diggs
206691635,loui8sdstk
206691635,dicedstk
206691635,diggs
206690331,loui8sdstk
206690331,dicedstk
206690331,diggs
206678615,skandaras
206678615,dicedstk
206678615,diggs
206556369,loui8sdstk
206556369,diggs
206545314,loui8sdstk
206545314,bumster
206545314,diggs
206544315,bumster
206544315,diggs
206551342,diggs
206377365,skandaras
206377365,dicedstk
206377365,diggs
206375461,skandaras
206375461,diggs
206360968,diggs
206131292,skandaras
206131292,diggs
206002354,loui8sdstk
206002354,skandaras
206002354,diggs
206011024,loui8sdstk
206011024,skandaras
206011024,diggs
205989398,loui8sdstk
205989398,skandaras
205989398,diggs
205860038,loui8sdstk
205860038,diggs
205838721,loui8sdstk
205838721,diggs
205846110,loui8sdstk
205846110,diggs
205763484,loui8sdstk
205763484,skandaras
205763484,diggs
205645393,loui8sdstk
205645393,bumster
205645393,diggs
205635403,loui8sdstk
205635403,bumster
205635403,diggs
205599210,loui8sdstk
205599210,diggs
205539489,loui8sdstk
205539489,diggs
205442021,loui8sdstk
205442021,diggs
205394110,loui8sdstk
205394110,skandaras
205394110,dicedstk
205394110,diggs
205401185,loui8sdstk
205401185,diggs
205071917,loui8sdstk
205071917,diggs
205069758,loui8sdstk
205069758,diggs
204711062,loui8sdstk
204711062,diggs
204564353,loui8sdstk
