player1,bumster,dicedstk,diggs,endgamedos,loui8sdstk,loui9sdstk,menelaus34,mwaxy,skandaras,smatties
bumster,45,14,9,6,5,2,9,16,23,3
dicedstk,14,227,13,4,38,9,52,18,85,28
diggs,9,13,55,3,25,0,13,13,24,1
endgamedos,6,4,3,22,12,0,2,2,11,7
loui8sdstk,5,38,25,12,184,0,13,9,103,22
loui9sdstk,2,9,0,0,0,22,15,0,19,16
menelaus34,9,52,13,2,13,15,93,13,48,18
mwaxy,16,18,13,2,9,0,13,98,24,3
skandaras,23,85,24,11,103,19,48,24,250,83
smatties,3,28,1,7,22,16,18,3,83,89
