game_id,attr,val
179671742,ranked_status,0
179720524,player0,skandaras
179720524,player1,dicedstk
179720524,game_outcome,0
179720524,ranked_status,0
179722825,player0,skandaras
179722825,player1,dicedstk
179722825,game_outcome,0
179722825,ranked_status,0
179731457,player0,skandaras
179731457,player1,dicedstk
179731457,game_outcome,1
179731457,ranked_status,0
179732175,player0,skandaras
179732175,player1,dicedstk
179732175,game_outcome,0
179732175,ranked_status,0
179735030,player0,dicedstk
179735030,game_outcome,0
179735030,ranked_status,0
179738658,player0,skandaras
179738658,player1,dicedstk
179738658,game_outcome,0
179738658,ranked_status,0
179949447,player0,dicedstk
179949447,game_outcome,0
179949447,ranked_status,0
179959555,player0,dicedstk
179959555,game_outcome,1
179959555,ranked_status,0
180080816,player0,dicedstk
180080816,game_outcome,1
180080816,ranked_status,0
180081407,player0,dicedstk
180081407,game_outcome,1
180081407,ranked_status,0
180131321,player0,dicedstk
180131321,game_outcome,1
180131321,ranked_status,0
180131839,player0,dicedstk
180131839,game_outcome,1
180131839,ranked_status,0
180142016,player0,dicedstk
180142016,game_outcome,1
180142016,ranked_status,0
180142495,player0,dicedstk
180142495,game_outcome,1
180142495,ranked_status,0
180316114,player0,dicedstk
180316114,player1,menelaus34
180316114,game_outcome,0
180316114,ranked_status,0
180324815,player0,dicedstk
180324815,player1,menelaus34
180324815,game_outcome,1
180324815,ranked_status,0
180329513,player0,dicedstk
180329513,game_outcome,1
180329513,ranked_status,0
180372174,player0,dicedstk
180372174,game_outcome,1
180372174,ranked_status,0
180378341,player0,dicedstk
180378341,game_outcome,1
180378341,ranked_status,0
180393840,player0,dicedstk
180393840,game_outcome,1
180393840,ranked_status,0
180396877,player0,dicedstk
180396877,game_outcome,1
180396877,ranked_status,0
180438890,player0,dicedstk
180438890,game_outcome,0
180438890,ranked_status,0
180547102,player0,dicedstk
180547102,game_outcome,0
180547102,ranked_status,0
180704973,player0,dicedstk
180704973,game_outcome,1
180704973,ranked_status,0
181013187,player0,dicedstk
181013187,game_outcome,0
181013187,ranked_status,0
181013674,player0,bumster
181013674,player1,dicedstk
181013674,game_outcome,0
181013674,ranked_status,0
181023828,player0,bumster
181023828,player1,dicedstk
181023828,game_outcome,0
181023828,ranked_status,0
181266310,player0,dicedstk
181266310,game_outcome,1
181266310,ranked_status,0
181503598,player0,dicedstk
181503598,game_outcome,1
181503598,ranked_status,0
181511965,player0,dicedstk
181511965,game_outcome,0
181511965,ranked_status,0
181512923,player0,dicedstk
181512923,game_outcome,1
181512923,ranked_status,0
181514635,player0,dicedstk
181514635,game_outcome,0
181514635,ranked_status,0
181830818,player0,dicedstk
181830818,game_outcome,1
181830818,ranked_status,0
182083533,player0,dicedstk
182083533,game_outcome,0
182083533,ranked_status,0
182399626,player0,dicedstk
182399626,game_outcome,1
182399626,ranked_status,0
182405332,player0,dicedstk
182405332,game_outcome,0
182405332,ranked_status,0
182462902,player0,dicedstk
182462902,game_outcome,0
182462902,ranked_status,0
182640780,player0,dicedstk
182640780,game_outcome,0
182640780,ranked_status,0
182775406,player0,dicedstk
182775406,game_outcome,1
182775406,ranked_status,0
182818458,player0,dicedstk
182818458,game_outcome,0
182818458,ranked_status,0
182839027,player0,dicedstk
182839027,game_outcome,0
182839027,ranked_status,0
182920095,player0,dicedstk
182920095,game_outcome,0
182920095,ranked_status,0
182921052,player0,dicedstk
182921052,game_outcome,0
182921052,ranked_status,0
183031151,player0,dicedstk
183031151,game_outcome,1
183031151,ranked_status,0
183032611,player0,dicedstk
