game_id,main_player,ranked_status,win_status,0,1,2,3,4,5,6,7,8,9
180130313,loui8sdstk,TRUE,FALSE,mylastremake,themightyfruit,loui8sdstk,skandaras,awakeneddead,akalii,condom,stixxay,lliiilllliiillii,triplecrisp
180089492,loui8sdstk,TRUE,FALSE,tyko,intothesky,legendssb,bigwatermelon,sexylady,scythrix,nowsuffer,earlc,loui8sdstk,skandaras
180085078,loui8sdstk,TRUE,FALSE,alexjones,hotdad,peyaeya,wooowdenniss,loui8sdstk,pique,753981,xpenis,célîkåº,justinut0909
179949405,loui8sdstk,TRUE,TRUE,k1krakerz,brozztchoua,rexou,fizzonmyjeet,letitiaabj,loui8sdstk,dapaolu,saladking,dontforgetmetnt,kaji
179951612,loui8sdstk,TRUE,FALSE,joke,feywyrm,spagettimeatball,sexhuman,l2tg,loui8sdstk,skandaras,dicedstk,robbstark,bltch
179941399,loui8sdstk,TRUE,TRUE,staruniva,jarulso,guthix99,sexhuman,l2tg,loui8sdstk,skandaras,dicedstk,eternalx,tryingtosup
179950281,loui8sdstk,TRUE,TRUE,loui8sdstk,skandaras,xxkakashixx,xxsasukexx,xxitachixx,teatealol,untouchableak,maxxxxxawesome,mmnl03,tmd
179909689,loui8sdstk,TRUE,TRUE,fuzzybear,due2life,xdafuqragerx,fatirl,mrtriggerhappy,sxccreampie,iphone7s,markim,loui8sdstk,skandaras
179909190,loui8sdstk,TRUE,TRUE,wvogpete,koojunhoe,farkmynamewontfi,crazylikefox,placentasoup,loui8sdstk,skandaras,japchaeoppa,viltorber,psychpillow
179888831,loui8sdstk,TRUE,TRUE,alevel3starly,ashfault,ninjaboi0,loui8sdstk,skandaras,biedawoteng,foreigndogstfu,feelsbard,darksider,ssung
179901443,loui8sdstk,TRUE,TRUE,loui8sdstk,skandaras,yibin,hbh,superrrrbaby,tripleextra,lzsb2b,limomomomo,frankjz,mlxg
179881482,loui8sdstk,TRUE,TRUE,ladyluckysmile,bigpenisclinton,keymaster,niqq,grav,loui8sdstk,skandaras,4everyoung,ouo233,junnybaliz
179900716,loui8sdstk,TRUE,FALSE,loui8sdstk,skandaras,eternalx,nomorewords,tskelom,vulgrim66,nightsub,cupcakesarepain,beautifulzizi,bittersese
179900112,loui8sdstk,TRUE,TRUE,blacus,deltoreo,yuclement,athresh,minidah,loui8sdstk,skandaras,jhincest,ihatmyslef,dynasmash
179859510,loui8sdstk,TRUE,TRUE,evilbob,yerlskie,loui8sdstk,skandaras,menelaus34,hitmeonceagain,on9peter,supgee,rondo99,megablacker
179838682,loui8sdstk,TRUE,FALSE,jetaimecjp,solobean,crayonx,mlgscrublord,thedoomedpenguin,loui8sdstk,skandaras,babbage,alljack,anjewcifer
179857787,loui8sdstk,TRUE,FALSE,hehuapao,thetigerlord,hehuage,loui8sdstk,skandaras,fischer,fischér,lukeskywalker,finlay31,tawonisword
179729127,loui8sdstk,TRUE,TRUE,yourdeathislegit,sirchingchong,jankenpon,traninc,byakuran,loui8sdstk,skandaras,imfromjungle,mynameisbong,qwkekfsd
178337735,smatties,TRUE,FALSE,ginyflaps,kingofdrift,trickeybusiness,yujieliang,pandagege,smatties,skandaras,tinytiger24,dicedstk,menelaus34
178279785,smatties,TRUE,TRUE,stayhomewarrior,thedankninja,banggggtot,madlifetct,gohanxp,p3ngyu,shinsuke,bnmtoto,smatties,skandaras
178260971,smatties,TRUE,FALSE,zephfori,patronium,rysdarker,rysmayday,ryswhite,loui8sdstk,smatties,skandaras,healthpot,furo
178152014,smatties,TRUE,TRUE,sahannybill,darkstarshooter,ganjasaurus,5ri,dernz,solotsj,smatties,skandaras,dicedstk,gobbygiver
177628756,smatties,TRUE,TRUE,slimeseason,sonnytheduck,soltex,asperity,lisbos,leeham,kyxsb,loui8sdstk,smatties,skandaras
177637803,smatties,TRUE,FALSE,wexico,atreetrump,smatties,skandaras,menelaus34,popcornchicken,showryseo,wuke,elbardo,hiimxx
177571962,smatties,TRUE,FALSE,sosorry,nightingale3,taoky,zmy,mwy,loui8sdstk,smatties,dicedstk,darkmasterali,waitfirstlove
177118769,smatties,TRUE,TRUE,jakethedogge,funkysnail,muukz,kingmouss,fizzonmyface7,barilo,worstrengaraus,loui8sdstk,smatties,dicedstk
176738793,smatties,TRUE,FALSE,nunreaper,uniquesm1le,mrfruittitutti,alicexprime,3c3c1d11944o927,newdr1ver,loui8sdstk,smatties,skandaras,beyoncé
176738342,smatties,TRUE,FALSE,loui8sdstk,smatties,skandaras,fangpianer,paperwhale,b4ndy,g0blinc0ckz,nioxsae,iouie,zagiri
176728050,smatties,TRUE,TRUE,loui8sdstk,smatties,skandaras,devoidsimo,ahovinsane1,fangpianer,doabarrelrolll,yanzal,lickmyass,dreamkids
176353333,smatties,TRUE,TRUE,halfbreedhitman,cuffyochick,sevendayskeita,samoasayin,walkingd3d,smatties,skandaras,loui9sdstk,dicedstk,menelaus34
176342971,smatties,TRUE,TRUE,yasúo,taipanblaze,booga,loo,youareautistic,smatties,skandaras,loui9sdstk,dicedstk,menelaus34
176342513,smatties,TRUE,TRUE,japandajunior,yutoaztah,thonic,xkillerx,dangerzone22,smatties,skandaras,loui9sdstk,dicedstk,menelaus34
176351489,smatties,TRUE,FALSE,smatties,skandaras,loui9sdstk,dicedstk,menelaus34,spazman0,artemisthecat,pallymon,tehl0rd,puppycat
176340965,smatties,TRUE,FALSE,beyondflames,zäc,craniotomy,aca,swurlin,smatties,skandaras,loui9sdstk,dicedstk,menelaus34
176179085,smatties,TRUE,FALSE,mwaxy,smatties,skandaras,bumster,dicedstk,letsbee,łlłlrugłlłl,gruepain,tramalsr,lii
176178735,smatties,TRUE,FALSE,letsbee,łlłlrugłlłl,tramalsr,lii,byulsk,mwaxy,smatties,skandaras,bumster,dicedstk
155453774,2dmin,TRUE,TRUE,2dmin,sneppahtihs,bigdickbandito,laolu,megacheese,skriblezzzz,djpaul,timer123,high4life,theunknown
155443429,2dmin,TRUE,TRUE,zaxyn1076,2dmin,hicksy2009,anthony79,yebrah,caitlineu,godofaustralia,clissic,stratz,jswagg
155452931,2dmin,TRUE,TRUE,nqslpig,chazar,jumpst0r,diablerie,mikeee666,flyingvdutchman,2dmin,wangmusheng,molaro,mrtommyy
155442577,2dmin,TRUE,TRUE,brvtts,kingofmarksman,2dmin,spitfitreavenue,swiffs,thevlav,caitlineu,hwh,walkingdeadm,skunkxo
180131554,menelaus34,TRUE,FALSE,xxbensonxx,bubebubexx,loui8sdstk,skandaras,menelaus34,czy130330,dogofsake,dbp20m,akinokaze,mechreaper
180140548,menelaus34,TRUE,FALSE,beatsprodigy,kebri,skandaras,menelaus34,loqua,halfviet,tsmbjerkson,legendardy,rubick,cheezyhammy
179859510,menelaus34,TRUE,TRUE,evilbob,yerlskie,loui8sdstk,skandaras,menelaus34,hitmeonceagain,on9peter,supgee,rondo99,megablacker
178905617,menelaus34,TRUE,FALSE,lamsenpai,zsilverkingz,skandaras,dicedstk,menelaus34,bigblack,shadowkitty,emeraldkitty,soshininja,flukedoctor
178904939,menelaus34,TRUE,FALSE,blackyan,howardwilliam,sakuraerii,gibbous,colinsourman,skandaras,dicedstk,menelaus34,cigars,jojo5464
178904166,menelaus34,TRUE,FALSE,mirabelle,ashbringer,popura,ssehunerry,abuzz,arrogan,skandaras,menelaus34,napoli,adrianj
178893915,menelaus34,TRUE,TRUE,nomorewords,timchow,fionalove,gibbous,dakotaa,keepcalmgainlp,napoli,adrianj,skandaras,menelaus34
178891356,menelaus34,TRUE,FALSE,nightstroke,tronthepom,loui8sdstk,skandaras,menelaus34,milkecream,sexyyladyyy,mop,ppapasmurff,matuawilliam
178900471,menelaus34,TRUE,FALSE,leumas95,carrybot,loui8sdstk,skandaras,menelaus34,cherrycreme,khazix1011,ninjapoop,gemstone,òôó
178890139,menelaus34,TRUE,TRUE,nehidude,deathsdance,swiftrevenge102,ace,connordude,loui8sdstk,skandaras,menelaus34,visciousneed,cherrycreme
180142495,dicedstk,TRUE,TRUE,memphisprime,jgpaco,ocebestlee,edghermes,dicedstk,jaatzypoo,vhugsnkisses,hamdaman,vrangah,thecaminater
180142016,dicedstk,TRUE,TRUE,lamawesome,starhunter,marsicovetere,silverysmile,adammrz,valac,talented,zxtsonw,luluxiuv,dicedstk
180131839,dicedstk,TRUE,TRUE,hiimkk,uniquesm1le,dicedstk,azy,baeyubin,wontonnoodlesoup,deadleesins,ghoui,lisaboom,threshwithoute
180131321,dicedstk,TRUE,TRUE,thesassmaestro,mrflak,mrfuzzbutt,richest,spacemanhobbes,dicedstk,piercezzz,awildazuredrake,pooduhfattie,longinus212
180062744,dicedstk,TRUE,TRUE,godbrian,truecolours,nomorewords,timchow,fionalove,femshep,deadlymiasma,radishcaps,skandaras,dicedstk
180081407,dicedstk,TRUE,TRUE,saitamasenpai,bakihanma,cayde6,renwp,raveshaw0,halalkush,dicedstk,soloplayerkirito,il1ke69,kingwhisper
180080816,dicedstk,TRUE,TRUE,theoutkast,dadkiss,firmmonkey,strivee,rhysricebowl,dicedstk,punroro,blackhunter3,nnew,amir5z
179959555,dicedstk,TRUE,TRUE,tiagochan,dicedstk,suckmycrits,scapebaby,smoothiehoney,doppa,aaaaashley,qqqq,firstgreenzebra,thespawnman
179949447,dicedstk,TRUE,FALSE,xxjannaxx,williamwilliam,dicedstk,kritga,strikerite,vic5,hiimsamson,qlank,curisxo,nzsquishy
179951612,dicedstk,TRUE,FALSE,joke,feywyrm,spagettimeatball,sexhuman,l2tg,loui8sdstk,skandaras,dicedstk,robbstark,bltch
179941399,dicedstk,TRUE,TRUE,staruniva,jarulso,guthix99,sexhuman,l2tg,loui8sdstk,skandaras,dicedstk,eternalx,tryingtosup
179738658,dicedstk,TRUE,FALSE,masteyi,cathy666,bronzemidlaner,skandaras,dicedstk,optimumnutrition,willynator,danielb444,benjay,wwwwwmwwwwwwwwww
179735030,dicedstk,TRUE,FALSE,roxii,dicedstk,lilmisspurdey,vectra,killedbybuff,tenacity2016,aussieblamer,neverrage,wogmaw,foreverpandora
179722825,dicedstk,TRUE,FALSE,ispheo,skandaras,dicedstk,kingpacer,bukaki,songotenn,alreadyturk,derickrose,rôku,legendarymichael
179732175,dicedstk,TRUE,FALSE,chubbybunny,chaosspaces11,zionspartin,xunknown,atom7525,skandaras,dicedstk,moremoney,ronraver19,asaakirahd
179731457,dicedstk,TRUE,TRUE,nickzantiotis,thebandersnatch,w0lves,skandaras,dicedstk,tiagochan,cutono1,rindou,gagas,soskinnyithurts
179720524,dicedstk,TRUE,FALSE,justjoking,alexcong,mangosun,shardaura,nikachyan,skandaras,dicedstk,botts,moricii,aphona
179667533,dicedstk,TRUE,FALSE,mangoie,pure2g,tomzhangissobad,akumamori,chingbomb,skandaras,dicedstk,nealkill,xchildish,lelouchvibrit
179666967,dicedstk,TRUE,FALSE,skandaras,dicedstk,wombegongal,renwp,raveshaw0,dragøn,thermopanda,bøner,andersisbest,cccccchhhhhhhhhh
179671742,dicedstk,TRUE,TRUE,k0ala,current,demonicunicorn,spectralrzx,dicedstk,killerwatts,benjaminjacobi,saintsugar,181cm61kg18cm,bbqdragon
180142663,skandaras,TRUE,FALSE,eveningbreezetz,throbking69,yourusenameistoo,uwsisthebest,alegendisborn,cyatonight,pinju,skandaras,hepatitisb,whatabeach
180132740,skandaras,TRUE,FALSE,hungryhungryfobz,smitty717,cyrodin,jacksonkill,haobaobao,brogz5,sweatyballrash,loberg,vongolaxprimo,skandaras
180141806,skandaras,TRUE,FALSE,imurderadc,mysterianoob,bloodykmary,hawkesie,fajamaja,loui8sdstk,skandaras,bodomboi,reverandspines,osamaboomladan
180131554,skandaras,TRUE,FALSE,xxbensonxx,bubebubexx,loui8sdstk,skandaras,menelaus34,czy130330,dogofsake,dbp20m,akinokaze,mechreaper
180140548,skandaras,TRUE,FALSE,beatsprodigy,kebri,skandaras,menelaus34,loqua,halfviet,tsmbjerkson,legendardy,rubick,cheezyhammy
180130313,skandaras,TRUE,FALSE,mylastremake,themightyfruit,loui8sdstk,skandaras,awakeneddead,akalii,condom,stixxay,lliiilllliiillii,triplecrisp
180089492,skandaras,TRUE,FALSE,tyko,intothesky,legendssb,bigwatermelon,sexylady,scythrix,nowsuffer,earlc,loui8sdstk,skandaras
180062744,skandaras,TRUE,TRUE,godbrian,truecolours,nomorewords,timchow,fionalove,femshep,deadlymiasma,radishcaps,skandaras,dicedstk
179951612,skandaras,TRUE,FALSE,joke,feywyrm,spagettimeatball,sexhuman,l2tg,loui8sdstk,skandaras,dicedstk,robbstark,bltch
179941399,skandaras,TRUE,TRUE,staruniva,jarulso,guthix99,sexhuman,l2tg,loui8sdstk,skandaras,dicedstk,eternalx,tryingtosup
179950281,skandaras,TRUE,TRUE,loui8sdstk,skandaras,xxkakashixx,xxsasukexx,xxitachixx,teatealol,untouchableak,maxxxxxawesome,mmnl03,tmd
179909689,skandaras,TRUE,TRUE,fuzzybear,due2life,xdafuqragerx,fatirl,mrtriggerhappy,sxccreampie,iphone7s,markim,loui8sdstk,skandaras
179909190,skandaras,TRUE,TRUE,wvogpete,koojunhoe,farkmynamewontfi,crazylikefox,placentasoup,loui8sdstk,skandaras,japchaeoppa,viltorber,psychpillow
179888831,skandaras,TRUE,TRUE,alevel3starly,ashfault,ninjaboi0,loui8sdstk,skandaras,biedawoteng,foreigndogstfu,feelsbard,darksider,ssung
179901443,skandaras,TRUE,TRUE,loui8sdstk,skandaras,yibin,hbh,superrrrbaby,tripleextra,lzsb2b,limomomomo,frankjz,mlxg
179881482,skandaras,TRUE,TRUE,ladyluckysmile,bigpenisclinton,keymaster,niqq,grav,loui8sdstk,skandaras,4everyoung,ouo233,junnybaliz
179900716,skandaras,TRUE,FALSE,loui8sdstk,skandaras,eternalx,nomorewords,tskelom,vulgrim66,nightsub,cupcakesarepain,beautifulzizi,bittersese
179900112,skandaras,TRUE,TRUE,blacus,deltoreo,yuclement,athresh,minidah,loui8sdstk,skandaras,jhincest,ihatmyslef,dynasmash
179859510,skandaras,TRUE,TRUE,evilbob,yerlskie,loui8sdstk,skandaras,menelaus34,hitmeonceagain,on9peter,supgee,rondo99,megablacker
180207382,bumster,TRUE,FALSE,peeshes,anxietys,megustauvas,fapfaplol,bumster,glitnir,williamvboy,slatypus,chumchum,allstarzkillaz8
180201290,bumster,TRUE,TRUE,versionii,patto33,raptar54,sexyboss,juicymarker,phoenixjack,adza,buttshrinker,bumster,booboo11
180813532,loui8sdstk,TRUE,TRUE,destriant,lkchilly,tokyocold,cindybaby,pangz1,mremms,loui8sdstk,skandaras,bigdownlow,alexkarnage
180716826,loui8sdstk,TRUE,FALSE,wheaters,tjz,loui8sdstk,skandaras,dicedstk,linlin,nightse,eastau,im30noob,fate666
180716186,loui8sdstk,TRUE,TRUE,phatvape,roboo,mesial,duxo,hulksmashkapow,loui8sdstk,skandaras,dicedstk,bukkakalypse,fallenangel
180536729,loui8sdstk,TRUE,TRUE,loui8sdstk,endgamedos,ohjihwan1225,finndeath42,countwoodlan,ashthegoblin,painful,thebeast,mystline,korin
180545120,loui8sdstk,TRUE,TRUE,chentai,remembermyname,fappyfeet,ragnarok,cbean,finalhope,loui8sdstk,ohyol,beehumble,sukaretto
180535606,loui8sdstk,TRUE,TRUE,loui8sdstk,cindyyu,yifanshow,chaivinsen,llemonyl,9797,guapilecturer,jgaz,wumachine,arch
180535304,loui8sdstk,TRUE,FALSE,xxtsmchenguxx,jïmbø,loui8sdstk,coolest,likasunryze,teeps,popura,mikelitorris,sandyvag,dyn4m1t3
180439027,loui8sdstk,TRUE,TRUE,kelts,boyd,isanagi,rief,rosmarinus,wimtinton,loui8sdstk,dicedstk,shopping,thatzright
180447510,loui8sdstk,TRUE,FALSE,chll,jokertenma,eastsea,erikpear69,nightstar,sharksinthesalsa,evdawgz,ayimao,loui8sdstk,uzumakiezreal
180437951,loui8sdstk,TRUE,TRUE,makunouchi,1tpwukong,sickcunt,chll,wemystlc,hbh,igordon,wh1tebr1ght,lonelykiwi,loui8sdstk
