game_id,main_player,win_status,0,1,2,3,4,5,6,7,8,9
176113489,mwaxy,False,diao4,meme patrol,red cloak,sadisticd,mwaxy,flat eric,zukyov,petelo937,op da mage ofa ,g dragon
176111411,mwaxy,True,mwaxy,kleophrades,fz jizky,potus,nipponese,bee sin dog,poppin off,fizz on bush,hypocrite,hotel casablanca
176101243,mwaxy,True,mwaxy,sir naeron,amilionbabes,abc shots,drsquizzy,ga style,wookees,biolife,fleece,insêc
176046647,mwaxy,True,threefivebottles,dotadog,firefirefire,sn0man9189,ookami sky,hysterics,argentfox,toefl 120,mwaxy,astrapsato
176045823,mwaxy,False,spartaaagh,aidsthemonkey,someotherperson,r0yalblade,mrtheseamoose,pu3r,jamyj,tiger man gg,ugly virgin,mwaxy
176043819,mwaxy,True,a hamburger pls,platinum flatop,the notorious me,two same numbers,the poonangle,bestshooter,ltpepsi,xiphyir,mapleaddiction,mwaxy
179949405,loui8sdstk,True,k1 krakerz,brozz tchoua,rexou,fizzonmyjeet,letitiaabj,loui8s dstk,dapao lu,saladking,dontforgetme tnt,kaji
179951612,loui8sdstk,False,joke,feywyrm ,spagettimeatball,sex human,l2tg,loui8s dstk,skandaras,dicedstk,robbstark,bltch
179941399,loui8sdstk,True,staruniva,jarulso,guthix99,sex human,l2tg,loui8s dstk,skandaras,dicedstk,eternalx,trying to s u p
179950281,loui8sdstk,True,loui8s dstk,skandaras,xxkakashixx,xxsasukexx,xxitachixx,teatealol,untouchable ak,maxxxxx awesome,mmnl03,tmd
179909689,loui8sdstk,True,fuzzy bear,due2life,x dafuqrager x,fat irl,mrtriggerhappy,sxccreampie,iphone7s,markim,loui8s dstk,skandaras
179909190,loui8sdstk,True,wvogpete,koo junhoe ,farkmynamewontfi,crazy like fox,placenta soup,loui8s dstk,skandaras,japchae oppa,viltorber,psychpillow
179888831,loui8sdstk,True,a level 3 starly,ashfault,ninja boi 0,loui8s dstk,skandaras,biedawo  teng,foreign dog stfu,feels bard,darksider,ssung
179901443,loui8sdstk,True,loui8s dstk,skandaras,yibin,hbh,superrrrbaby,tripleextra,lzsb2b,limomomomo,frankjz,mlxg
179881482,loui8sdstk,True,lady lucky smile,bigpenis clinton,key master,niqq,grav,loui8s dstk,skandaras,4ever young,ouo233,junny baliz 
179900716,loui8sdstk,False,loui8s dstk,skandaras,eternalx,no more words,tsk elom,vulgrim66,nightsub,cupcakesarepain,beautiful zi zi,bitter se se
179900112,loui8sdstk,True,blacus,deltoreo,yuclement,a thresh,minidah,loui8s dstk,skandaras,jhincest,i hat myslef,dynasmash
179859510,loui8sdstk,True,evil bob,yerlskie,loui8s dstk,skandaras,menelaus34,hitmeonceagain,on9peter,supgee,rondo99,megablacker
179838682,loui8sdstk,False,je t aime cjp,solobean,crayon x,mlgscrublord,thedoomedpenguin,loui8s dstk,skandaras,babbage,alljack,anjewcifer
179857787,loui8sdstk,False,hehuapao,the tiger lord,hehuage,loui8s dstk,skandaras,fischer,fischér,luke skywalker,finlay31,taw oni sword
